SpanID: 2b91be61014f2fa1, SpanName: http:/inside_payment/pay, SpanKind: SERVER, Timestamp:1693819223415000, SpanDuration: 220.989ms
--SpanID: 3e1a2e1b8650fb64, SpanName: https:/orderother/getbyid, SpanKind: CLIENT, Timestamp:1693819223506000, SpanDuration: 77.0ms
--SpanID: 3e1a2e1b8650fb64, SpanName: https:/orderother/getbyid, SpanKind: SERVER, Timestamp:1693819223554000, SpanDuration: 18.0ms
--SpanID: d637ef5a41cfb1d6, SpanName: https:/orderother/modifyorderstatus, SpanKind: CLIENT, Timestamp:1693819223609000, SpanDuration: 12.0ms
--SpanID: d637ef5a41cfb1d6, SpanName: https:/orderother/modifyorderstatus, SpanKind: SERVER, Timestamp:1693819223610000, SpanDuration: 9.0ms
==================================
SpanID: 3335a137fe0bd8bf, SpanName: http:/preserveother, SpanKind: SERVER, Timestamp:1693819211285000, SpanDuration: 2544.134ms
--SpanID: f32ac3250c7a8cbd, SpanName: https:/verifylogintoken/bf7fd356-8809-46c9-bbdb-08, SpanKind: CLIENT, Timestamp:1693819211357000, SpanDuration: 62.0ms
--SpanID: f32ac3250c7a8cbd, SpanName: https:/verifylogintoken/bf7fd356-8809-46c9-bbdb-08, SpanKind: SERVER, Timestamp:1693819211405000, SpanDuration: 5.0ms
--SpanID: 2bc6cf6452fc2cc6, SpanName: https:/security/check, SpanKind: CLIENT, Timestamp:1693819211438000, SpanDuration: 568.0ms
----SpanID: d3f13ae47e2aa3db, SpanName: https:/getorderinfoforsecurity, SpanKind: CLIENT, Timestamp:1693819211659000, SpanDuration: 279.0ms
----SpanID: d3f13ae47e2aa3db, SpanName: https:/getorderinfoforsecurity, SpanKind: SERVER, Timestamp:1693819211830000, SpanDuration: 91.0ms
----SpanID: 86dbe0806ff69d03, SpanName: https:/getorderotherinfoforsecurity, SpanKind: CLIENT, Timestamp:1693819211950000, SpanDuration: 31.0ms
----SpanID: 86dbe0806ff69d03, SpanName: https:/getorderotherinfoforsecurity, SpanKind: SERVER, Timestamp:1693819211971000, SpanDuration: 7.0ms
--SpanID: 2bc6cf6452fc2cc6, SpanName: https:/security/check, SpanKind: SERVER, Timestamp:1693819211588000, SpanDuration: 409.0ms
----SpanID: d3f13ae47e2aa3db, SpanName: https:/getorderinfoforsecurity, SpanKind: CLIENT, Timestamp:1693819211659000, SpanDuration: 279.0ms
----SpanID: d3f13ae47e2aa3db, SpanName: https:/getorderinfoforsecurity, SpanKind: SERVER, Timestamp:1693819211830000, SpanDuration: 91.0ms
----SpanID: 86dbe0806ff69d03, SpanName: https:/getorderotherinfoforsecurity, SpanKind: CLIENT, Timestamp:1693819211950000, SpanDuration: 31.0ms
----SpanID: 86dbe0806ff69d03, SpanName: https:/getorderotherinfoforsecurity, SpanKind: SERVER, Timestamp:1693819211971000, SpanDuration: 7.0ms
--SpanID: edcbb7fa58ebf4e2, SpanName: https:/contacts/getcontactsbyid/, SpanKind: CLIENT, Timestamp:1693819212009000, SpanDuration: 50.0ms
----SpanID: ff2ce5aa3206a01a, SpanName: https:/verifylogintoken/bf7fd356-8809-46c9-bbdb-08, SpanKind: CLIENT, Timestamp:1693819212041000, SpanDuration: 10.0ms
----SpanID: ff2ce5aa3206a01a, SpanName: https:/verifylogintoken/bf7fd356-8809-46c9-bbdb-08, SpanKind: SERVER, Timestamp:1693819212045000, SpanDuration: 6.0ms
--SpanID: edcbb7fa58ebf4e2, SpanName: https:/contacts/getcontactsbyid/, SpanKind: SERVER, Timestamp:1693819212035000, SpanDuration: 22.0ms
----SpanID: ff2ce5aa3206a01a, SpanName: https:/verifylogintoken/bf7fd356-8809-46c9-bbdb-08, SpanKind: CLIENT, Timestamp:1693819212041000, SpanDuration: 10.0ms
----SpanID: ff2ce5aa3206a01a, SpanName: https:/verifylogintoken/bf7fd356-8809-46c9-bbdb-08, SpanKind: SERVER, Timestamp:1693819212045000, SpanDuration: 6.0ms
--SpanID: 0acaf5ecee63f60d, SpanName: https:/travel2/gettripalldetailinfo/, SpanKind: CLIENT, Timestamp:1693819212072000, SpanDuration: 422.0ms
----SpanID: 69e42e51c96930e9, SpanName: https:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1693819212097000, SpanDuration: 23.0ms
------SpanID: 8bb1adb829e9007c, SpanName: https:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693819212103000, SpanDuration: 15.0ms
